parent_email,learner_code,relationship_type,note
mock.parent.001@example.test,FRESH1001,Mother,Link on Parents screen after importing
mock.parent.002@example.test,FRESH1002,Father,Link on Parents screen after importing
mock.parent.003@example.test,FRESH1003,Mother,Link on Parents screen after importing
mock.parent.004@example.test,FRESH1004,Father,Link on Parents screen after importing
mock.parent.005@example.test,FRESH1005,Mother,Link on Parents screen after importing
mock.parent.006@example.test,FRESH1006,Father,Link on Parents screen after importing
mock.parent.007@example.test,FRESH1007,Mother,Link on Parents screen after importing
mock.parent.008@example.test,FRESH1008,Father,Link on Parents screen after importing
mock.parent.009@example.test,FRESH1009,Mother,Link on Parents screen after importing
mock.parent.010@example.test,FRESH1010,Father,Link on Parents screen after importing
